InvoiceID,CustomerID,BranchID,InvoiceDate,Channel,PaymentMethod,DiscountAmount,TotalAmount,Status,Year,Month,YearMonth,ItemsCount,ItemsQty
INV000001,C00856,B02,1400-04-08,Store,Card,0.0,4691900.0,Completed,1400,4,1400-04,4,11
INV000002,C02194,B04,1405-03-11,Store,OnlinePay,241143.0,1608997.0,Completed,1405,3,1405-03,1,5
INV000003,C01896,B05,1404-08-05,Store,Card,133570.0,2698754.0,Completed,1404,8,1404-08,6,15
INV000004,C00195,B99,1405-06-04,Online,Cash,0.0,1908462.0,Completed,1405,6,1405-06,4,8
INV000005,C00892,B01,1405-02-10,Store,OnlinePay,0.0,926059.0,Completed,1405,2,1405-02,2,8
INV000006,C01593,B03,1402-02-30,Store,Card,0.0,175131.0,Completed,1402,2,1402-02,1,3
INV000007,C01629,B99,1404-02-18,Store,OnlinePay,0.0,2958053.0,Completed,1404,2,1404-02,4,13
INV000008,C01041,B08,1402-02-10,App,OnlinePay,78397.0,2316899.0,Completed,1402,2,1402-02,4,14
INV000009,C01413,B02,1405-01-10,Store,OnlinePay,0.0,235151.0,Completed,1405,1,1405-01,1,1
INV000010,C00663,B08,1402-09-22,Store,Card,8320.0,293076.0,Completed,1402,9,1402-09,1,2
INV000011,C01810,B06,1402-07-08,Store,Wallet,0.0,2577144.0,Completed,1402,7,1402-07,6,13
INV000012,C01432,B04,1405-02-16,Store,Card,0.0,2055115.0,Completed,1405,2,1405-02,5,15
INV000013,C01157,B99,1404-10-25,Online,OnlinePay,0.0,2330506.0,Completed,1404,10,1404-10,4,13
INV000014,C01034,B03,1405-05-08,Store,Card,547932.0,5322222.0,Completed,1405,5,1405-05,6,22
INV000015,C01057,B06,1400-07-03,Store,Card,324443.0,3504963.0,Completed,1400,7,1400-07,6,15
INV000016,C01782,B07,1401-09-27,App,Card,164127.0,2608226.0,Completed,1401,9,1401-09,4,12
INV000017,C01839,B05,1402-01-28,Store,OnlinePay,855059.0,4949086.0,Completed,1402,1,1402-01,6,19
