InvoiceID,CustomerID,BranchID,InvoiceDate,Channel,PaymentMethod,DiscountAmount,TotalAmount,Status
INV000001,C00856,B02,1400-04-08,Store,Card,0.0,4691900.0,Completed
INV000002,C02194,B04,1405-03-11,Store,OnlinePay,241143.0,1608997.0,Completed
INV000003,C01896,B05,1404-08-05,Store,Card,133571.0,2698753.0,Completed
INV000004,C00195,B99,1405-06-04,Online,Cash,0.0,1908462.0,Completed
INV000005,C00892,B01,1405-02-10,Store,OnlinePay,0.0,926059.0,Completed
INV000006,C01593,B03,1402-02-30,Store,Card,0.0,175131.0,Completed
INV000007,C01629,B99,1404-02-18,Store,OnlinePay,0.0,2958053.0,Completed
INV000008,C01041,B08,1402-02-10,App,OnlinePay,78397.0,2316899.0,Completed
INV000009,C01413,B02,1405-01-10,Store,OnlinePay,0.0,235151.0,Completed
INV000010,C00663,B08,1402-09-22,Store,Card,8320.0,293076.0,Completed
INV000011,C01810,B06,1402-07-08,Store,Wallet,0.0,2577144.0,Completed
INV000012,C01432,B04,1405-02-16,Store,Card,0.0,2055115.0,Completed
INV000013,C01157,B99,1404-10-25,Online,OnlinePay,0.0,2330506.0,Completed
INV000014,C01034,B03,1405-05-08,Store,Card,547932.0,5322222.0,Completed
INV000015,C01057,B06,1400-07-03,Store,Card,324443.0,3504963.0,Completed
INV000016,C01782,B07,1401-09-27,App,Card,164127.0,2608226.0,Completed
INV000017,C01839,B05,1402-01-28,Store,OnlinePay,855058.0,4949087.0,Completed
INV000018,C01214,B99,1402-10-21,Online,OnlinePay,0.0,1069187.0,Completed
INV000019,C01074,B99,1403-01-18,Online,OnlinePay,12427.0,76701.0,Completed
INV000020,C01630,B01,1402-01-11,Store,Wallet,280675.0,5010490.0,Completed
INV000021,C01899,B99,1404-08-06,Online,Card,70997.0,2462570.0,Completed
INV000022,C01537,B04,1401-08-07,Store,Card,186962.0,4907247.0,Completed
INV000023,C01921,B03,1404-02-27,Store,OnlinePay,0.0,1986374.0,Completed
INV000024,C01210,B99,1404-11-19,Online,Card,0.0,1964729.0,Completed
INV000025,C00195,B02,1403-09-24,Store,Cash,0.0,3488228.0,Completed
INV000026,C00229,B02,1402-05-24,Store,Card,78694.0,992193.0,Completed
INV000027,C01973,B99,1401-05-13,Online,Cash,323407.0,1588178.0,Completed
INV000028,C01513,B99,1401-01-06,Online,Card,0.0,1757310.0,Completed
INV000029,C00377,B99,1404-05-20,Online,OnlinePay,94740.0,3309435.0,Completed
INV000030,C00570,B99,1403-01-12,Store,OnlinePay,0.0,2452157.0,Completed
INV000031,C01552,B04,1400-05-05,Store,OnlinePay,531222.0,2398871.0,Completed
INV000032,C02161,B04,1405-06-06,Store,OnlinePay,0.0,3596507.0,Completed
INV000033,C01169,B02,1404-01-15,Store,Card,0.0,825995.0,Completed
INV000034,C00623,B07,1404-11-06,Store,OnlinePay,0.0,4834287.0,Completed
INV000035,C01190,B08,1402-11-19,Store,OnlinePay,0.0,2438620.0,Completed
INV000036,C01173,B99,1405-04-20,Online,Card,48221.0,1938331.0,Completed
INV000037,C02135,B04,1401-06-12,Store,Card,0.0,495000.0,Completed
