InvoiceItemID,InvoiceID,ProductID,Quantity,UnitPrice,LineDiscount,LineTotal
II0000001,INV000001,P0034,2.0,370028.0,0.0,740056.0
II0000002,INV000001,P0021,1.0,378076.0,0.0,378076.0
II0000003,INV000001,P0072,3.0,446721.0,0.0,1340163.0
II0000004,INV000001,P0072,5.0,446721.0,0.0,2233605.0
II0000005,INV000002,P0034,5.0,370028.0,241143.0,1608997.0
II0000006,INV000003,P0030,1.0,386963.0,36179.0,350784.0
II0000007,INV000003,P0075,2.0,164300.0,18512.0,310088.0
II0000008,INV000003,P0058,3.0,1.0,0.0,3.0
II0000009,INV000003,P0069,3.0,292977.0,28139.0,850792.0
II0000010,INV000003,P0077,1.0,22282.0,1766.0,20516.0
II0000011,INV000003,P0074,5.0,243109.0,48974.0,1166571.0
II0000012,INV000004,P0018,1.0,321113.0,0.0,321113.0
II0000013,INV000004,P0024,2.0,264558.0,0.0,529116.0
II0000014,INV000004,P0024,4.0,264558.0,0.0,1058232.0
II0000015,INV000004,P0065,1.0,1.0,0.0,1.0
II0000016,INV000005,P0055,3.0,146743.0,0.0,440229.0
II0000017,INV000005,P0051,5.0,97166.0,0.0,485830.0
II0000018,INV000006,P0001,3.0,58377.0,0.0,175131.0
II0000019,INV000007,P0029,3.0,442577.0,0.0,1327731.0
II0000020,INV000007,P0007,1.0,213697.0,0.0,213697.0
II0000021,INV000007,P0041,5.0,177493.0,0.0,887465.0
II0000022,INV000007,P0043,4.0,132290.0,0.0,529160.0
II0000023,INV000008,P0034,1.0,370028.0,12532.0,357496.0
II0000024,INV000008,P0046,3.0,151561.0,19610.0,435073.0
II0000025,INV000008,P0047,5.0,219178.0,28694.0,1067196.0
II0000026,INV000008,P0083,5.0,94939.0,17561.0,457134.0
II0000027,INV000009,P0005,1.0,235151.0,0.0,235151.0
II0000028,INV000010,P0028,2.0,150698.0,8320.0,293076.0
II0000029,INV000011,P0032,1.0,304624.0,0.0,304624.0
II0000030,INV000011,P0045,3.0,74858.0,0.0,224574.0
II0000031,INV000011,P0015,2.0,362142.0,0.0,724284.0
II0000032,INV000011,P0001,3.0,58377.0,0.0,175131.0
II0000033,INV000011,P0082,3.0,235318.0,0.0,705954.0
II0000034,INV000011,P0029,1.0,442577.0,0.0,442577.0
II0000035,INV000012,P0084,4.0,311393.0,0.0,1245572.0
II0000036,INV000012,P0078,5.0,72785.0,0.0,363925.0
