CustomerID,Recency,Frequency,Monetary,Cluster,ClusterName
C00001,178,11,29461214.0,3,مشتریان وفادار پرارزش
C00002,197,10,22611667.0,3,مشتریان وفادار پرارزش
C00003,122,9,22372731.0,3,مشتریان وفادار پرارزش
C00004,21,9,16951508.0,0,مشتریان عادی / کم‌تراکنش
C00005,143,13,32821297.0,3,مشتریان وفادار پرارزش
C00006,264,5,14659511.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00007,5,8,21556380.0,0,مشتریان عادی / کم‌تراکنش
C00008,206,4,8156704.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00009,86,5,16024610.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00010,269,9,21505616.0,0,مشتریان عادی / کم‌تراکنش
C00011,273,8,23403325.0,0,مشتریان عادی / کم‌تراکنش
C00012,143,10,20636450.0,3,مشتریان وفادار پرارزش
C00013,210,6,14910523.0,0,مشتریان عادی / کم‌تراکنش
C00014,248,4,13191367.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00015,15,13,25388500.0,3,مشتریان وفادار پرارزش
C00016,946,5,15743447.0,2,مشتریان در خطر ریزش
C00017,1758,2,4980531.0,2,مشتریان در خطر ریزش
C00018,196,3,4053232.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00019,86,10,27392392.0,3,مشتریان وفادار پرارزش
C00020,968,2,6431501.0,2,مشتریان در خطر ریزش
C00021,1355,2,3067593.0,2,مشتریان در خطر ریزش
C00022,190,10,19886500.0,3,مشتریان وفادار پرارزش
C00023,330,6,14758048.0,0,مشتریان عادی / کم‌تراکنش
C00024,37,7,14021340.0,0,مشتریان عادی / کم‌تراکنش
C00025,23,8,23410749.0,0,مشتریان عادی / کم‌تراکنش
C00026,30,7,18271367.0,0,مشتریان عادی / کم‌تراکنش
C00027,28,9,15972377.0,0,مشتریان عادی / کم‌تراکنش
C00028,962,3,8159223.0,2,مشتریان در خطر ریزش
C00029,925,5,5462946.0,2,مشتریان در خطر ریزش
C00030,354,10,17739195.0,0,مشتریان عادی / کم‌تراکنش
C00031,171,5,15649579.0,1,مشتریان عادی / کم‌تراکنش (گروه 1)
C00032,21,12,27323812.0,3,مشتریان وفادار پرارزش
