CustomerID,Purchases,TotalSpend,AvgOrder,FirstPurchase,LastPurchase,CLV
C00001,11,29461214.0,2678292.1818181816,1400-07-23,1405-01-08,44191821.0
C00002,10,22611667.0,2261166.7,1400-11-29,1404-12-18,33917500.5
C00003,9,22372731.0,2485859.0,1402-04-31,1405-03-02,33559096.5
C00004,9,16951508.0,1883500.888888889,1400-01-08,1405-06-10,25427262.0
C00005,13,32821297.0,2524715.153846154,1400-02-22,1405-02-12,49231945.5
C00006,5,14659511.0,2931902.2,1400-12-03,1404-10-11,21989266.5
C00007,8,21556380.0,2694547.5,1402-04-25,1405-06-26,32334570.0
C00008,4,8156704.0,2039176.0,1404-04-28,1404-12-09,12235056.0
C00009,5,16024610.0,3204922.0,1402-01-04,1405-04-07,24036915.0
C00010,9,21505616.0,2389512.888888889,1400-10-02,1404-10-06,32258424.0
C00011,8,23403325.0,2925415.625,1400-03-07,1404-10-02,35104987.5
C00012,10,20636450.0,2063645.0,1401-11-09,1405-02-12,30954675.0
C00013,6,14910523.0,2485087.1666666665,1402-10-12,1404-12-05,22365784.5
C00014,4,13191367.0,3297841.75,1401-02-26,1404-10-27,19787050.5
C00015,13,25388500.0,1952961.5384615385,1400-06-29,1405-06-16,38082750.0
C00016,5,15743447.0,3148689.4,1400-09-06,1402-11-30,23615170.5
C00017,2,4980531.0,2490265.5,1400-01-11,1400-09-08,7470796.5
C00018,3,4053232.0,1351077.3333333333,1401-07-04,1404-12-19,6079848.0
C00019,10,27392392.0,2739239.2,1400-09-28,1405-04-07,41088588.0
C00020,2,6431501.0,3215750.5,1400-03-18,1402-11-08,9647251.5
C00021,2,3067593.0,1533796.5,1400-06-22,1401-10-16,4601389.5
C00022,10,19886500.0,1988650.0,1402-06-13,1404-12-25,29829750.0
C00023,6,14758048.0,2459674.6666666665,1400-11-26,1404-08-05,22137072.0
C00024,7,14021340.0,2003048.5714285714,1401-02-03,1405-05-25,21032010.0
C00025,8,23410749.0,2926343.625,1400-02-31,1405-06-08,35116123.5
C00026,7,18271367.0,2610195.285714286,1400-09-04,1405-06-01,27407050.5
C00027,9,15972377.0,1774708.5555555555,1400-10-10,1405-06-03,23958565.5
C00028,3,8159223.0,2719741.0,1401-06-25,1402-11-14,12238834.5
C00029,5,5462946.0,1092589.2,1400-02-04,1402-12-21,8194419.0
C00030,10,17739195.0,1773919.5,1400-03-30,1404-07-11,26608792.5
C00031,5,15649579.0,3129915.8,1400-02-08,1405-01-15,23474368.5
C00032,12,27323812.0,2276984.3333333335,1401-09-08,1405-06-10,40985718.0
C00033,4,8915912.0,2228978.0,1401-08-20,1405-04-04,13373868.0
C00034,7,19006116.0,2715159.4285714286,1401-05-08,1404-09-18,28509174.0
C00035,6,16612044.0,2768674.0,1401-12-24,1405-03-08,24918066.0
C00036,7,20202577.0,2886082.4285714286,1400-01-23,1405-06-25,30303865.5
C00037,5,12904525.0,2580905.0,1400-02-10,1403-11-07,19356787.5
C00038,1,2534161.0,2534161.0,1402-01-11,1402-01-11,3801241.5
C00039,7,19041553.0,2720221.8571428573,1401-02-15,1404-09-23,28562329.5
C00040,7,18143437.0,2591919.5714285714,1400-04-24,1404-11-29,27215155.5
C00041,10,30185111.0,3018511.1,1400-05-30,1404-11-22,45277666.5
C00042,6,11034690.0,1839115.0,1400-08-03,1404-08-21,16552035.0
C00043,3,3674941.0,1224980.3333333333,1400-08-23,1404-05-28,5512411.5
C00044,3,3653009.0,1217669.6666666667,1400-07-02,1402-12-23,5479513.5
C00045,7,11469774.0,1638539.142857143,1400-07-30,1403-11-26,17204661.0
C00046,8,18445262.0,2305657.75,1401-02-07,1405-05-17,27667893.0
C00047,8,15794912.0,1974364.0,1400-11-25,1405-01-21,23692368.0
C00048,11,19368505.0,1760773.1818181819,1400-01-02,1405-05-25,29052757.5
C00049,9,25527835.0,2836426.111111111,1400-01-11,1404-02-16,38291752.5
C00050,7,11964596.0,1709228.0,1401-05-27,1404-07-27,17946894.0
C00051,7,12754191.0,1822027.2857142857,1402-02-05,1405-02-21,19131286.5
C00052,7,14777918.0,2111131.1428571427,1400-02-17,1405-01-24,22166877.0
C00053,12,37895119.0,3157926.5833333335,1400-07-05,1404-12-15,56842678.5
C00054,7,16471288.0,2353041.1428571427,1401-04-25,1405-02-24,24706932.0
C00055,1,5163253.0,5163253.0,1404-07-07,1404-07-07,7744879.5
C00056,3,6591033.0,2197011.0,1400-06-18,1403-02-04,9886549.5
C00057,4,10056934.0,2514233.5,1401-08-29,1403-04-30,15085401.0
C00058,3,7414130.0,2471376.6666666665,1403-02-20,1403-07-13,11121195.0
C00059,9,16805484.0,1867276.0,1400-01-03,1404-07-12,25208226.0
C00060,7,11056381.0,1579483.0,1402-01-14,1405-06-29,16584571.5
C00061,5,20893031.0,4178606.2,1401-01-05,1404-08-27,31339546.5
C00062,9,27124630.0,3013847.777777778,1400-02-10,1404-11-20,40686945.0
C00063,3,3888598.0,1296199.3333333333,1403-05-05,1404-01-30,5832897.0
C00064,6,11641289.0,1940214.8333333333,1402-01-03,1405-03-01,17461933.5
C00065,4,9068700.0,2267175.0,1401-07-09,1405-05-31,13603050.0
C00066,4,6497010.0,1624252.5,1400-11-25,1405-06-04,9745515.0
C00067,6,8737333.0,1456222.1666666667,1401-06-26,1403-12-24,13105999.5
C00068,8,19826704.0,2478338.0,1400-02-24,1405-06-15,29740056.0
C00069,6,15369569.0,2561594.8333333335,1403-03-18,1404-09-18,23054353.5
C00070,7,22653484.0,3236212.0,1400-04-09,1405-06-21,33980226.0
C00071,7,13617662.0,1945380.2857142857,1400-06-21,1404-06-21,20426493.0
C00072,4,11214220.0,2803555.0,1402-08-14,1404-10-18,16821330.0
C00073,10,18834480.0,1883448.0,1400-02-08,1405-02-09,28251720.0
C00074,4,4939128.0,1234782.0,1400-10-16,1404-01-10,7408692.0
C00075,8,20689980.0,2586247.5,1400-03-21,1405-06-20,31034970.0
C00076,8,21296924.0,2662115.5,1400-01-11,1405-06-02,31945386.0
C00077,9,24827330.0,2758592.222222222,1400-12-22,1405-01-10,37240995.0
C00078,5,8012602.0,1602520.4,1402-01-03,1405-06-21,12018903.0
C00079,5,8868563.0,1773712.6,1400-01-27,1402-09-21,13302844.5
C00080,5,4989121.0,997824.2,1403-10-06,1405-05-30,7483681.5
C00081,8,17157705.0,2144713.125,1400-04-12,1404-10-29,25736557.5
C00082,11,32615827.0,2965075.1818181816,1400-08-30,1404-10-30,48923740.5
C00083,7,24262167.0,3466023.8571428573,1401-05-12,1405-01-23,36393250.5
C00084,2,3383457.0,1691728.5,1401-03-06,1402-12-27,5075185.5
C00085,8,26456956.0,3307119.5,1401-06-10,1405-01-16,39685434.0
C00086,3,7740803.0,2580267.6666666665,1400-10-04,1404-02-01,11611204.5
C00087,6,13151997.0,2191999.5,1401-01-07,1404-09-21,19727995.5
C00088,8,17012947.0,2126618.375,1400-09-26,1405-02-04,25519420.5
C00089,4,6575753.0,1643938.25,1402-05-02,1405-03-10,9863629.5
C00090,7,23456271.0,3350895.8571428573,1401-01-11,1404-08-08,35184406.5
C00091,10,28809363.0,2880936.3,1400-03-23,1405-05-15,43214044.5
C00092,2,2341503.0,1170751.5,1402-01-03,1404-11-15,3512254.5
C00093,7,22549345.0,3221335.0,1400-12-10,1404-08-29,33824017.5
C00094,1,2866587.0,2866587.0,1405-03-03,1405-03-03,4299880.5
C00095,3,6569961.0,2189987.0,1402-07-07,1404-01-13,9854941.5
C00096,16,48477563.0,3029847.6875,1400-01-10,1405-04-12,72716344.5
C00097,10,33907541.0,3390754.1,1400-02-25,1405-02-03,50861311.5
C00098,7,19457303.0,2779614.714285714,1400-03-20,1405-01-06,29185954.5
C00099,8,20156805.0,2519600.625,1400-05-10,1404-10-21,30235207.5
C00100,7,18504039.0,2643434.1428571427,1400-01-03,1405-03-01,27756058.5
C00101,7,13395097.0,1913585.2857142857,1400-01-12,1405-03-27,20092645.5
C00102,6,8983389.0,1497231.5,1400-04-08,1405-03-08,13475083.5
C00103,6,15976354.0,2662725.6666666665,1400-12-04,1405-02-31,23964531.0
C00104,10,20543179.0,2054317.9,1401-02-12,1403-12-13,30814768.5
C00105,4,11512875.0,2878218.75,1401-08-04,1402-10-01,17269312.5
C00106,8,24098587.0,3012323.375,1400-01-12,1405-01-10,36147880.5
C00107,5,16082929.0,3216585.8,1400-09-28,1404-11-01,24124393.5
C00108,10,19888503.0,1988850.3,1401-07-18,1405-05-10,29832754.5
C00109,9,20669859.0,2296651.0,1400-01-11,1405-03-06,31004788.5
C00110,6,13256266.0,2209377.6666666665,1403-07-17,1405-06-17,19884399.0
C00111,4,8144711.0,2036177.75,1401-04-07,1405-06-20,12217066.5
C00112,5,13655578.0,2731115.6,1400-03-11,1405-05-05,20483367.0
C00113,8,11663687.0,1457960.875,1400-01-08,1405-03-11,17495530.5
C00114,12,33443899.0,2786991.5833333335,1400-03-30,1405-01-10,50165848.5
C00115,8,13426137.0,1678267.125,1402-01-07,1405-06-24,20139205.5
C00116,11,26745589.0,2431417.1818181816,1402-07-04,1405-03-27,40118383.5
C00117,7,15960113.0,2280016.1428571427,1401-12-11,1405-04-30,23940169.5
C00118,8,16334359.0,2041794.875,1400-10-14,1405-03-28,24501538.5
C00119,5,16490213.0,3298042.6,1401-07-12,1405-04-28,24735319.5
C00120,3,7663923.0,2554641.0,1401-09-18,1403-11-02,11495884.5
C00121,6,15389545.0,2564924.1666666665,1400-01-04,1405-06-11,23084317.5
C00122,12,25963658.0,2163638.1666666665,1401-12-12,1405-03-25,38945487.0
C00123,8,23427945.0,2928493.125,1401-07-18,1404-12-11,35141917.5
C00124,5,11128026.0,2225605.2,1400-11-03,1404-03-06,16692039.0
C00125,7,20702006.0,2957429.4285714286,1400-05-05,1404-11-25,31053009.0
C00126,3,5178097.0,1726032.3333333333,1403-09-24,1405-06-27,7767145.5
C00127,6,10182694.0,1697115.6666666667,1400-03-14,1405-04-25,15274041.0
C00128,9,18752657.0,2083628.5555555555,1400-04-02,1405-01-08,28128985.5
C00129,7,14854091.0,2122013.0,1400-09-10,1404-03-14,22281136.5
C00130,5,7309277.0,1461855.4,1400-06-20,1402-12-27,10963915.5
C00131,6,11403928.0,1900654.6666666667,1403-01-13,1404-08-22,17105892.0
C00132,4,9727311.0,2431827.75,1400-10-10,1405-06-30,14590966.5
C00133,6,16638332.0,2773055.3333333335,1400-03-31,1405-02-03,24957498.0
C00134,6,12271304.0,2045217.3333333333,1400-03-09,1404-09-13,18406956.0
C00135,4,15189343.0,3797335.75,1401-12-12,1403-12-28,22784014.5
C00136,6,8485584.0,1414264.0,1400-02-12,1405-06-14,12728376.0
C00137,4,8411844.0,2102961.0,1403-03-09,1405-03-26,12617766.0
C00138,5,4922912.0,984582.4,1401-08-24,1405-02-10,7384368.0
C00139,6,12857117.0,2142852.8333333335,1400-11-15,1405-01-07,19285675.5
C00140,9,13959221.0,1551024.5555555555,1400-05-06,1405-02-26,20938831.5
C00141,13,25124706.0,1932669.6923076923,1400-01-25,1405-04-30,37687059.0
C00142,6,16537965.0,2756327.5,1400-06-15,1404-04-15,24806947.5
C00143,6,16276129.0,2712688.1666666665,1400-12-06,1403-05-10,24414193.5
C00144,15,32978357.0,2198557.1333333333,1400-02-27,1405-05-07,49467535.5
C00145,7,12880748.0,1840106.857142857,1400-02-19,1405-02-19,19321122.0
C00146,6,15150822.0,2525137.0,1401-01-08,1405-05-07,22726233.0
C00147,4,8546298.0,2136574.5,1401-07-03,1405-05-11,12819447.0
C00148,6,15663219.0,2610536.5,1402-02-21,1404-11-28,23494828.5
C00149,10,17505748.0,1750574.8,1400-11-05,1405-02-16,26258622.0
C00150,8,12533752.0,1566719.0,1400-12-14,1405-05-09,18800628.0
C00151,7,8337113.0,1191016.142857143,1400-07-20,1405-03-20,12505669.500000002
C00152,6,16223567.0,2703927.8333333335,1400-10-02,1405-05-27,24335350.5
C00153,9,15100485.0,1677831.6666666667,1400-07-05,1404-07-13,22650727.5
C00154,8,16214321.0,2026790.125,1400-06-24,1404-11-04,24321481.5
C00155,5,11287554.0,2257510.8,1400-11-24,1405-04-27,16931331.0
C00156,11,23737578.0,2157961.6363636362,1400-09-12,1404-12-14,35606367.0
C00157,4,12225956.0,3056489.0,1401-09-06,1404-08-28,18338934.0
C00158,4,12660092.0,3165023.0,1400-04-05,1404-11-21,18990138.0
C00159,9,15664578.0,1740508.6666666667,1401-01-03,1404-04-20,23496867.0
C00160,2,3145643.0,1572821.5,1400-08-22,1403-01-04,4718464.5
C00161,5,11284945.0,2256989.0,1402-01-25,1404-11-12,16927417.5
C00162,10,20792693.0,2079269.3,1400-11-15,1405-04-15,31189039.5
C00163,6,12616380.0,2102730.0,1401-07-19,1404-02-02,18924570.0
C00164,12,29632666.0,2469388.8333333335,1401-01-24,1405-02-30,44448999.0
C00165,7,21436435.0,3062347.8571428573,1400-04-23,1405-03-27,32154652.5
C00166,7,23228180.0,3318311.4285714286,1401-03-31,1404-07-02,34842270.0
C00167,7,12280247.0,1754321.0,1401-10-16,1405-06-04,18420370.5
C00168,8,12913298.0,1614162.25,1400-03-28,1405-04-06,19369947.0
C00169,10,24973130.0,2497313.0,1400-10-14,1405-02-11,37459695.0
C00170,8,17080458.0,2135057.25,1403-04-04,1405-04-31,25620687.0
C00171,6,12676472.0,2112745.3333333335,1400-03-04,1405-04-30,19014708.0
C00172,8,22718675.0,2839834.375,1401-04-14,1405-03-29,34078012.5
C00173,7,11643162.0,1663308.857142857,1401-04-23,1404-12-16,17464743.0
C00174,3,7669597.0,2556532.3333333335,1402-04-10,1405-04-04,11504395.5
C00175,4,9796453.0,2449113.25,1400-09-21,1405-02-23,14694679.5
C00176,7,18456952.0,2636707.4285714286,1400-01-14,1405-01-30,27685428.0
C00177,6,14701561.0,2450260.1666666665,1401-04-05,1405-01-15,22052341.5
C00178,8,11619006.0,1452375.75,1402-01-31,1404-12-22,17428509.0
C00179,9,19470362.0,2163373.5555555555,1400-01-05,1405-06-17,29205543.0
C00180,2,4409901.0,2204950.5,1401-06-02,1405-01-14,6614851.5
C00181,6,10016045.0,1669340.8333333333,1400-01-26,1403-11-11,15024067.5
C00182,7,14000009.0,2000001.2857142857,1401-04-31,1404-11-14,21000013.5
C00183,8,31653427.0,3956678.375,1400-07-26,1405-04-30,47480140.5
C00184,11,29631489.0,2693771.727272727,1400-02-08,1404-03-16,44447233.49999999
C00185,12,27596567.0,2299713.9166666665,1400-07-15,1405-05-12,41394850.5
C00186,4,8576305.0,2144076.25,1403-05-30,1404-10-09,12864457.5
C00187,7,15731020.0,2247288.5714285714,1401-02-07,1404-12-18,23596530.0
C00188,4,7882528.0,1970632.0,1401-04-07,1404-12-09,11823792.0
C00189,7,15472539.0,2210362.714285714,1400-11-24,1405-01-16,23208808.499999996
C00190,12,29117418.0,2426451.5,1400-01-19,1405-05-29,43676127.0
C00191,6,17494681.0,2915780.1666666665,1400-04-31,1405-05-17,26242021.5
C00192,3,3356700.0,1118900.0,1400-01-01,1404-01-01,5035050.0
C00193,12,25372277.0,2114356.4166666665,1400-01-13,1405-06-25,38058415.5
C00194,13,27491638.0,2114741.3846153845,1400-07-14,1405-04-25,41237457.0
C00195,8,17617616.0,2202202.0,1401-07-11,1405-06-04,26426424.0
C00196,4,7138389.0,1784597.25,1401-05-28,1404-12-01,10707583.5
